Quantity,Name,Set,Category,SecondaryCategory,Salt,Color,Manavalue,Rarity,ScryfallCode,Cardtype
"1,Abstergo Entertainment,Assassin's Creed,Land,"""",0.31,"""",0,rare,4d197866-7633-493c-80dd-ec3a09165934,""Land"""
"1,Ancient Tomb,The List,Land,"""",1.41,"""",0,uncommon,2189b1cb-94c4-4477-a5ef-17a1ae2c6708,""Land"""
"1,Ash Barrens,Teenage Mutant Ninja Turtles Eternal,Land,"""",0.12,"""",0,common,e8510205-4baa-4f1c-bf64-5d931e2ddf48,""Land"""
"1,Assault Suit,Commander Masters,Maybeboard,""Protection"",0.3,"""",4,uncommon,92b22076-b04e-4d65-9d9c-d3e4c7a3cf1c,""Artifact"""
"1,Bant Panorama,New Capenna Commander,Maybeboard,""Land"",0.14,"""",0,common,dc506497-4ecd-41d3-9042-f92f498251b0,""Land"""
"1,Beast Within,Marvel Super Heroes Commander,Removal,"""",0.32,""Green"",3,uncommon,400b43aa-c1d2-4435-b863-061f43889422,""Instant"""
"1,Birds of Paradise,Marvel Super Heroes Commander,Ramp,"""",0.31,""Green"",1,rare,492c2f9a-51e7-4e0f-9899-23bf43ea988b,""Creature"""
"1,Brass Knuckles,Fallout,Pump,"""",0.09,"""",4,uncommon,bf3fcf94-c206-46ac-9356-7561cc0cd711,""Artifact"""
"1,Bridgeworks Battle // Tanglespan Bridgeworks,Modern Horizons 3,Removal,"""",0.09,""Green"",3,uncommon,ebef3db0-2b58-4581-a79c-fbca9a059e63,""Sorcery,Land"""
"1,Bushwhack,Foundations,Removal,"""",0.07,""Green"",1,common,03ebdb36-55e0-49dd-a514-785fbeb4ae19,""Sorcery"""
"1,""Chimil, the Inner Sun"",Lorwyn Eclipsed Commander,Draw,"""",0.74,"""",6,mythic,7b696878-bf6c-4323-baa5-93c44dde075e,""Artifact"""
"1,Colossal Majesty,Ravnica: Clue Edition,Draw,"""",0.15,""Green"",3,uncommon,db1cadc7-f79e-4cc9-855b-68cb1ef25d5f,""Enchantment"""
"1,Darksteel Plate,Final Fantasy Commander,Protection,"""",0.33,"""",3,rare,49277723-84df-4842-a8e5-cdf1c1aa8161,""Artifact"""
"1,Disruptor Flute,Modern Horizons 3,Stax,"""",0.43,"""",2,rare,5cad8671-4761-4014-a8a3-af45627e6e79,""Artifact"""
"1,Dream-Thief's Bandana,Outlaws of Thunder Junction Commander,Draw,"""",0.67,"""",2,rare,dccdb6cc-dfad-4c7e-9550-3dd12f3e9c79,""Artifact"""
"1,Earthbender Ascension,Avatar: The Last Airbender,Ramp,"""",null,""Green"",3,rare,590a58ab-5e98-4031-8aa6-ce396dc1429f,""Enchantment"""
"1,Emerald Dragon // Dissonant Wave,Commander Legends: Battle for Baldur's Gate,Removal,"""",0,""Green"",6,uncommon,1d07c21e-55dc-45b2-b406-2ac38ca5d871,""Creature,Instant"""
"1,Endurance,Lorwyn Eclipsed Commander,Sideboard,""Removal"",0.5,""Green"",3,mythic,b770471c-1bf7-4179-8418-dcd790ca5405,""Creature"""
"1,Entish Restoration,The Lord of the Rings: Tales of Middle-earth,Ramp,"""",0.23,""Green"",3,uncommon,cd4dbf80-187b-40e3-9e0b-526f78d9a34e,""Instant"""
"1,Escape Tunnel,Teenage Mutant Ninja Turtles,Land,"""",0.26,"""",0,common,5df90940-15ea-418c-8547-6c75d69ec6d3,""Land"""
"1,Evolving Wilds,Marvel Super Heroes Commander,Land,"""",0.13,"""",0,common,c0318a48-30e4-4ef7-be3d-5e561c5ce428,""Land"""
"1,""Excalibur, Sword of Eden"",Assassin's Creed,Pump,"""",0.59,"""",12,rare,26dbf574-3193-413e-a982-4b9d27dafaf5,""Artifact"""
"19,Forest,The Hobbit,Land,"""",0.7,"""",0,common,5f533364-0f91-4e49-aaeb-83c4c1f6d316,""Land"""
"1,Forgotten Ancient,Secrets of Strixhaven Commander,Counters,"""",0.37,""Green"",4,rare,f8c9d744-8294-4747-ae7e-99be2b6e7479,""Creature"""
"1,Fraying Line,Commander Legends: Battle for Baldur's Gate,Removal,"""",0.29,"""",4,rare,75bf7702-c97d-4b88-b815-769c4906e014,""Artifact"""
"1,Gaea's Gift,The Brothers' War,Sideboard,""Protection"",0.14,""Green"",2,common,5503186a-46fe-4956-8ae3-5ab3343f8a93,""Instant"""
"1,Glimpse the Core,The Lost Caverns of Ixalan,Ramp,"""",0.2,""Green"",2,uncommon,de7d6aed-3dc8-417d-a190-1660cfc8ee4a,""Sorcery"""
"1,Harmonize,Marvel Super Heroes Commander,Draw,"""",0.12,""Green"",4,uncommon,bd7138fb-6aa7-455e-b1f7-ca08d747277d,""Sorcery"""
"1,Herd Heirloom,Tarkir: Dragonstorm,Ramp,"""",0.18,""Green"",2,rare,a88c7713-b3a9-4685-b1d3-623d35b62365,""Artifact"""
"1,Hero's Blade,Marvel Super Heroes Commander,Pump,"""",0.15,"""",2,uncommon,6f2fa911-5735-4ee2-828f-59dea6927b20,""Artifact"""
"1,Heroic Intervention,Fallout,Protection,"""",0.9,""Green"",2,rare,0bdaecd3-fc71-4c86-a65e-27681e1ba41f,""Instant"""
"1,Hidden Blade,Assassin's Creed,Removal,"""",0.05,"""",2,uncommon,a07a488f-cb64-4f4c-9c2e-6cdb5d563f13,""Artifact"""
"1,High Score,Teenage Mutant Ninja Turtles Eternal,Draw,"""",null,""Green"",3,rare,b9077ef5-d19a-4106-950b-bb49b3b37510,""Enchantment"""
"1,Hit-Monkey,Marvel Super Heroes Commander,Commander,"""",null,""Green"",4,rare,7a253dc9-1593-4914-90ca-309aa3aed53d,""Creature"""
"1,Homeward Path,Commander 2016,Land,"""",0.21,"""",0,rare,54734347-eee7-4c52-b514-7342afeccabd,""Land"""
"1,Hunter's Insight,Commander Masters,Draw,"""",0.21,""Green"",3,uncommon,de399acd-e792-4f4a-8025-434f1080c0fc,""Instant"""
"1,Hush,Urza's Saga,Sideboard,""Removal"",0.33,""Green"",4,common,35f01c95-ce9e-4b45-9d15-a5d37100a5d8,""Sorcery"""
"1,Inkmoth Nexus,Mirrodin Besieged,Land,"""",0.6,"""",0,rare,ec50c1c3-885e-47d3-ada7-cc0edbf09df1,""Land"""
"1,Iron Man Armor,Marvel Super Heroes,Evasion,"""",null,"""",3,mythic,361c2f3b-f04e-446b-a683-9195e238daf0,""Artifact"""
"1,Last March of the Ents,The Lord of the Rings: Tales of Middle-earth,Draw,"""",0.93,""Green"",8,mythic,7f1b99e0-ffb7-4f98-8ee5-4357bb79dd2e,""Sorcery"""
"1,Lazotep Quarry,Modern Horizons 3 Commander,Land,"""",0.26,"""",0,rare,656ddd43-c70c-4927-9a02-fef5732708da,""Land"""
"1,Level Up,Teenage Mutant Ninja Turtles Eternal,Draw,"""",null,""Green"",2,rare,d4398907-17d2-4fad-bfa9-56925fb75834,""Enchantment"""
"1,Lifecrafter's Bestiary,Murders at Karlov Manor Commander,Draw,"""",0.17,"""",3,rare,cfb90c0c-50e7-4602-a64b-eeba9ec32e17,""Artifact"""
"1,Magus of the Library,Planar Chaos,Ramp,"""",0.38,""Green"",2,rare,899db99b-df27-4848-a23d-5c645deae450,""Creature"""
"1,Mithril Coat,The Lord of the Rings: Tales of Middle-earth,Protection,"""",0.67,"""",3,rare,0fd1fc09-a09d-45e6-8a07-3a8a83b4e6ec,""Artifact"""
"1,""Mutagen Man, Living Ooze"",Teenage Mutant Ninja Turtles,Counters,"""",null,""Green"",2,rare,9f9085f0-3702-462c-8c81-b4576236792d,""Creature"""
"1,Myriad Landscape,Edge of Eternities Commander,Land,"""",0.01,"""",0,uncommon,a0e2098f-1d94-491a-a7e9-a45a9f69e3a8,""Land"""
"1,Novel Nunchaku,Teenage Mutant Ninja Turtles,Removal,"""",null,""Green"",3,uncommon,f37ef012-c566-4d16-acf8-6079244907be,""Artifact"""
"1,Null Elemental Blast,Modern Horizons 3,Sideboard,""Removal"",0.35,"""",1,uncommon,8e259868-d29a-4c03-8ec3-49e914f849fb,""Instant"""
"1,Opal Palace,Secrets of Strixhaven Commander,Land,"""",0.13,"""",0,common,912553e7-1e67-4045-84fd-0a791754cf6c,""Land"""
"1,Origin of Metalbending,Avatar: The Last Airbender,Removal,"""",null,""Green"",2,common,25749f9a-260d-4bdc-bd28-429c12faa4a5,""Instant"""
"1,Professor Hojo,Final Fantasy Commander,Draw,"""",0.32,""Green"",2,rare,107ffe2e-47eb-43de-bc9e-c68013b62912,""Creature"""
"1,Questing Beast,The List,Removal,"""",0.54,""Green"",4,mythic,f22676dc-9c00-4fe6-aa39-1fd801ad7102,""Creature"""
"1,Ram Through,Commander Masters,Removal,"""",0.18,""Green"",2,common,44063a90-e4cf-4bcd-a128-792de15371a7,""Instant"""
"1,Rampant Growth,Final Fantasy Commander,Ramp,"""",0.19,""Green"",2,common,f3b48473-b53d-4c85-b970-7ee09a1eefd2,""Sorcery"""
"1,Rancor,Fallout,Evasion,"""",0.26,""Green"",1,uncommon,4073ecc9-5d3a-452f-b708-0572fa27a6f0,""Enchantment"""
"1,Reliquary Tower,Secrets of Strixhaven Commander,Land,"""",0.2,"""",0,uncommon,e2a27742-08c1-4153-af7f-25a7a98f585e,""Land"""
"1,Rogue's Passage,Secrets of Strixhaven Commander,Land,"""",0.35,"""",0,uncommon,335444f0-0848-4c17-b056-56d4fc876a58,""Land"""
"1,Rope,Murders at Karlov Manor,Evasion,"""",0,""Green"",1,uncommon,6881946c-5036-4d9f-926f-932c9a592aff,""Artifact"""
"1,Scavenger Grounds,Marvel Super Heroes Commander,Land,"""",0.32,"""",0,rare,9fbe68ba-ffe5-4fe0-ac0a-0b3221e4f395,""Land"""
"1,Selective Obliteration,Modern Horizons 3 Commander,Removal,"""",0.69,"""",5,rare,f0c21e73-8db1-4ede-bea5-1dcd4b3cef01,""Sorcery"""
"1,Shared Roots,Avatar: The Last Airbender,Ramp,"""",null,""Green"",2,uncommon,e7847ba5-e85e-417f-96c0-aef2e6f83994,""Sorcery"""
"2,Snow-Covered Wastes,Modern Horizons 3,Land,"""",0.26,"""",0,uncommon,87870792-e429-4eba-8193-cdce5c7b6c55,""Land"""
"1,Sol Ring,Marvel Super Heroes Commander,Ramp,"""",1.46,"""",1,uncommon,91fdb56b-54d5-4272-8319-505ff987fe9b,""Artifact"""
"1,Soul-Guide Lantern,Edge of Eternities Commander,Removal,"""",0.34,"""",1,uncommon,f4907e7b-d6d5-4e9b-968f-bce34ae4a577,""Artifact"""
"1,Soulless Jailer,Phyrexia: All Will Be One,Stax,"""",0.89,"""",2,rare,bf9991fd-ea6a-4ed7-b5f1-46a95f8d0634,""Creature,Artifact"""
"1,Spry and Mighty,Lorwyn Eclipsed,Sideboard,""Draw"",null,""Green"",5,rare,152b7374-e991-443f-b6ca-914415635c4a,""Sorcery"""
"1,Strength of Will,Marvel's Spider-Man,Protection,"""",0.43,""Green"",2,rare,68f985c7-7765-46c3-ad31-edae3abb9fbf,""Instant"""
"1,Strength-Testing Hammer,Unfinity,Draw,"""",0.29,"""",1,uncommon,b654514f-b1a0-4d96-8d05-55e2cf386518,""Artifact"""
"1,Strip Mine,Fourth Edition,Land,"""",1.48,"""",0,uncommon,a5899b46-226b-4be6-8e80-d2396f54210d,""Land"""
"1,Studious First-Year // Rampant Growth,Secrets of Strixhaven,Ramp,"""",null,""Green"",1,common,24f888dd-785c-4089-a89c-03f9080130ed,""Creature,Sorcery"""
"1,Summoning Materia,Final Fantasy Commander,Ramp,"""",0.3,""Green"",3,rare,176401fb-f87c-4085-9dac-e6c8a843e32e,""Artifact"""
"1,Super Combo,Teenage Mutant Ninja Turtles Eternal,Removal,"""",null,""Green"",2,rare,52bed0d4-3bcf-4770-b9c9-2a1d0666d220,""Sorcery"""
"1,Super State,Secret Lair Drop,Pump,"""",0.86,"""",7,mythic,a6a39919-a521-4e96-a47a-e09ac4d783bf,""Enchantment"""
"1,Sword of Fire and Ice,Double Masters,Draw,"""",0.76,"""",3,mythic,2626d4c9-fcef-4057-a154-7d987a4a4b84,""Artifact"""
"1,Sword of Sinew and Steel,Modern Horizons 1 Timeshifts,Removal,"""",0.86,"""",3,mythic,2afc63e4-10be-415b-9512-f6c1a477af8f,""Artifact"""
"1,T-45 Power Armor,Fallout,Pump,"""",0.19,"""",2,rare,203b1cb3-5eae-469a-8a5a-2e56dc859f78,""Artifact"""
"1,Temple of the False God,Secrets of Strixhaven Commander,Land,"""",0.17,"""",0,uncommon,1024f555-e0d7-48ac-b86e-c87290eac832,""Land"""
"1,Three Visits,Marvel Super Heroes Commander,Ramp,"""",0.22,""Green"",2,uncommon,99bf792f-963e-4509-8d3c-7db129c6a77f,""Sorcery"""
"1,""Toski, Bearer of Secrets"",Bloomburrow Commander,Draw,"""",0.47,""Green"",4,rare,0b261989-b34e-4bba-90f8-2adfda58c89b,""Creature"""
"1,Trash the Town,Outlaws of Thunder Junction,Draw,"""",0.1,""Green"",1,uncommon,eda59f99-1d6d-4051-ac89-b7cbfa19262e,""Instant"""
"1,Tyrite Sanctum,Commander Masters,Land,"""",0.14,"""",0,rare,27906645-7d43-4c18-a20b-8d683069351e,""Land"""
"1,Umezawa's Jitte,The List,Removal,"""",0.68,"""",2,rare,a50b29dd-6807-4859-8425-1958b9b99428,""Artifact"""
"1,Viridian Longbow,Forgotten Realms Commander,Removal,"""",0.29,"""",1,common,f4607634-6206-4c6c-b389-abcbfe969b65,""Artifact"""
"1,Wasteland,Eternal Masters,Land,"""",0.66,"""",0,rare,aaafb9bc-7cea-4624-a227-595544fa42b0,""Land"""
"1,Wear Down,Bloomburrow,Removal,"""",0.24,""Green"",2,uncommon,fded2b83-3b7d-4c8c-83c4-0624a1069628,""Sorcery"""
"1,Whiteout,Ice Age,Sideboard,""Protection"",0.33,""Green"",2,uncommon,a8645e4f-eaa8-4420-a6a3-eb53c311fab1,""Instant"""
"1,Winter Moon,Modern Horizons 3,Maybeboard,""Stax"",2.08,"""",2,rare,f76bc2da-8f4b-4153-8a7b-c601b19affaf,""Artifact"""
"1,Wrecking Ball Arm,Final Fantasy Commander,Pump,"""",0.22,"""",2,rare,e1f16620-08d6-49bd-9f75-d89ae46bfd1f,""Artifact"""
"1,Yuna's Whistle,Final Fantasy Commander,Draw,"""",0.36,""Green"",3,rare,8e591a23-15c3-4a65-a9d2-d1ce0f83552c,""Instant"""
