Quantity,Name,Category,Secondary categories,Colors,Mana Value,Scryfall ID,Types
"1,Abstergo Entertainment,Land,"""""""","""""""",0,4d197866-7633-493c-80dd-ec3a09165934,""""Land"
"1,Acidic Slime,Removal,"""""""",""""Green"""",5,932d48fb-42b5-4aaa-a91c-d35cdb5e41a3,""""Creature"
"1,""""Baird, Steward of Argive"""",Protection,"""""""",""""White"""",4,5165b4fa-ce48-49c3-9cb3-dc6ece8c0f08,""""Creature"
"1,Branch of Vitu-Ghazi,Land,"""""""","""""""",0,73a8169f-b858-47a5-9c76-2e7c50ad4ecd,""""Land"
"1,Buried in the Garden,Removal,"""""""",""""White,Green"""",4,7e144609-e1f6-4bdc-8d14-b735ef4140d3,""""Enchantment"
"1,Call a Surprise Witness,Recursion,"""""""",""""White"""",2,f5148def-cf1a-460e-8dfd-856103940892,""""Sorcery"
"1,Canopy Vista,Land,"""""""","""""""",0,9ed2a7c6-aa51-4b0e-a2d7-5f8d12c42e78,""""Land"
"1,Cartographer's Hawk,Ramp,"""""""",""""White"""",2,12d0b07f-9823-45b7-89bb-0a2a71833d46,""""Creature"
"1,Cave of the Frost Dragon,Land,"""""""","""""""",0,bdb41396-5008-4a5f-92ca-54ecac42e926,""""Land"
"1,Command Tower,Land,"""""""","""""""",0,129d1bbd-83ad-4953-bf6d-b55989b2529c,""""Land"
"1,Commander's Sphere,Ramp,"""""""","""""""",3,a4ce6b63-0b38-4582-94d5-c733af087038,""""Artifact"
"1,Conclave Cavalier,Tokens,"""""""",""""White,Green"""",4,084d80d4-c675-4f2a-97ce-ec0b401ecadf,""""Creature"
"1,Cosmic Rebirth,Recursion,"""""""",""""White,Green"""",3,7fcb225c-d18f-4b84-b2fc-91ed84ec30aa,""""Instant"
"1,""""Darien, King of Kjeldor"""",Tokens,"""""""",""""White"""",6,50875c99-c5c3-41dd-a0f9-08c98edfebc9,""""Creature"
"1,Dauntless Dismantler,Stax,"""""""",""""White"""",2,3d771631-0aab-4f09-b9a6-49b6b2d8d2aa,""""Creature"
"1,Demolition Field,Land,"""""""","""""""",0,47994cb6-204a-4fbe-a9d4-5798a70c95ab,""""Land"
"1,Dog Umbra,Protection,"""""""",""""White"""",2,8d4ba710-eddb-40ca-b2fe-0e4e778aab9c,""""Enchantment"
