Quantity,Name,Category,Secondary categories,Colors,Mana Value,Scryfall ID,Types
"1,Academy Manufactor,Tokens,"""","""",3,2f5b4544-70d9-45ee-84a3-fa6253a53a82,""Creature,Artifact"""
"1,Anchovy & Banana Pizza,Removal,"""",""Black"",4,44443ad2-ef8c-4106-ba1b-ee3fb6fd8b17,""Artifact"""
"1,Assassin's Trophy,Removal,"""",""Green,Black"",2,aaf258fc-3ba4-4b83-bdbf-10a07e0b6c03,""Instant"""
"1,Bakersbane Duo,Sideboard,""Maybeboard,Tokens"",""Green"",2,5309354f-1ff4-4fa9-9141-01ea2f7588ab,""Creature"""
"1,Beast Within,Removal,"""",""Green"",3,2a000bb0-1dc4-4fda-b26d-d89cc8daf930,""Instant"""
"1,Beledros Witherbloom,Tokens,"""",""Green,Black"",7,ac47e057-86e0-4774-a3e9-b256ab317ba0,""Creature"""
"1,Blighted Fen,Land,"""","""",0,09994b67-4b83-4b23-834b-73bae87e8272,""Land"""
"1,Bonebind Orator,Recursion,"""",""Black"",2,faf226fa-ca09-4468-8804-87b2a7de2c66,""Creature"""
"1,Bristlebud Farmer,Draw,"""",""Green"",4,d498c4de-5e80-4baa-9fcb-70f164880c84,""Creature"""
"1,""Camellia, the Seedmiser"",Commander,"""",""Green,Black"",3,2c16eaec-924c-42f6-9fea-07edd7ed93b9,""Creature"""
"1,Cauldron Familiar,Drain,"""",""Black"",1,33625759-712a-4977-a1e6-99a76510e530,""Creature"""
"1,""Chatterfang, Squirrel General"",Tokens,"""",""Green"",3,72ab0422-eba0-4e1e-9626-ef31b836dcd2,""Creature"""
"1,Command Tower,Land,"""","""",0,85eb4b03-305b-45a4-82e5-5fcd586cc744,""Land"""
"1,Courier of Comestibles,Draw,"""",""Green"",2,53f5f704-2265-42bb-bff5-fd9d85bc2bfb,""Creature"""
"1,Dakmor Salvage,Land,"""","""",0,72474b66-1dda-409d-8703-b026c1777081,""Land"""
"1,Darkbore Pathway // Slitherbore Pathway,Land,"""","""",0,87a4e5fe-161f-42da-9ca2-67c8e8970e94,""Land,Land"""
"1,Deathcap Glade,Land,"""","""",0,2f20e738-bab6-4000-afca-9fc9e4261c34,""Land"""
"1,Devoted Druid,Ramp,"""",""Green"",2,1ab94f16-778d-4437-a1b9-2f67cd214cc0,""Creature"""
"1,Dimension X Pizzasaur,Removal,"""",""Black"",4,fe4ab58f-3fb5-45fa-8ea1-794efa6f7da9,""Creature,Artifact"""
"1,Dubious Delicacy,Removal,"""",""Black"",3,153265b4-0ca4-4245-9226-dd1a083ec91c,""Artifact"""
"1,Elanor Gardner,Ramp,"""",""Green"",4,6165eb73-49a8-4337-aa5d-7d9d48b916c9,""Creature"""
"1,Evolving Wilds,Land,"""","""",0,31181bd2-3a1f-4cb9-ba30-637ac479133a,""Land"""
"1,Experimental Confectioner,Tokens,"""",""Black"",3,49aaf5db-9418-4b97-97da-736c674905d4,""Creature"""
"1,Fanatical Offering,Draw,"""",""Black"",2,d896dd52-b134-4b55-ab91-ccb05ecc50f4,""Instant"""
"1,Feed the Cauldron,To be removed,""Removal"",""Black"",3,0cfd18a5-e06a-4cb5-b78e-de18ec641321,""Instant"""
"11,Forest,Land,"""","""",0,7b6c2532-be5a-4f1f-893c-36bcda2a699d,""Land"""
"1,Fountainport,Land,"""","""",0,658cfcb7-81b7-48c6-9dd2-1663d06108cf,""Land"""
"1,Generous Ent,Maybeboard,""Ramp"",""Green"",6,85d22d5d-3875-42ff-b51e-c6e21db201f5,""Creature"""
"1,Gilded Goose,Ramp,"""",""Green"",1,8d3facb6-314c-4dd2-a570-4515c596163c,""Creature"""
"1,Go for the Throat,Maybeboard,""Removal"",""Black"",2,7fdafc6a-a53e-421d-8494-2a34f945d178,""Instant"""
"1,Golden Egg,Draw,"""","""",2,525142c3-f17c-4e02-a02d-fa385215aa12,""Artifact"""
"1,Great Arashin City,Land,"""","""",0,ecba23b6-9f3a-431e-bc22-f1fb04d27b68,""Land"""
"1,""Greta, Sweettooth Scourge"",Draw,"""",""Green,Black"",3,2cfd365e-34d1-4224-b925-119000311934,""Creature"""
"1,Grim Backwoods,Land,"""","""",0,e6ee7441-458d-4fb6-8cb7-a331d8bd8e84,""Land"""
"1,Hazel's Brewmaster,Tokens,"""",""Black"",4,52af8b70-a9c8-40d7-99da-fa51dc293688,""Creature"""
"1,Heaped Harvest,Ramp,"""",""Green"",3,3b5349db-0e0a-4b15-886e-0db403ef49cb,""Artifact"""
"1,Hollow Scavenger // Bakery Raid,To be removed,""Tokens"",""Green"",3,0ad345b6-7077-4dd2-b515-c774a3185fe4,""Creature,Sorcery"""
"1,Hollowmurk Siege,Draw,"""",""Green,Black"",2,5ac0e136-8877-4bfc-a831-2bf7b7b5ad1e,""Enchantment"""
"1,Hunter's Talent,Removal,"""",""Green"",2,e9a31863-9649-4a4f-99e4-c93729938bd7,""Enchantment"""
"1,Insatiable Frugivore,Sideboard,""Tokens"",""Black"",4,2ef58a8f-ce72-40c2-b032-818cc16267ce,""Creature"""
"1,Killer Service,Tokens,"""",""Green"",3,b86b0177-0533-4b5a-9da7-1e11d398d828,""Enchantment"""
"1,Kishla Village,Land,"""","""",0,9f0ff90d-7312-44df-afc5-29c768fa7758,""Land"""
"1,Lembas,Draw,"""","""",2,3b46aacf-b31a-4380-9e4b-82795fbaba3b,""Artifact"""
"1,Lightning Greaves,Protection,"""","""",2,8b59b12c-fde5-4f19-a357-e09f06f490cc,""Artifact"""
"1,Meriadoc Brandybuck,Sideboard,""Tokens"",""Green"",2,885a3277-ef10-4dcf-ac63-eb8971cd627c,""Creature"""
"1,Midnight Snack,Tokens,"""",""Black"",3,c9b7543f-2a45-4db6-b560-d15507a58c91,""Enchantment"""
"1,Morbid Opportunist,Draw,"""",""Black"",3,5f0440bc-807a-4425-8707-e74f468b2ca7,""Creature"""
"1,Night of the Sweets' Revenge,Ramp,"""",""Green"",4,27f53bed-7075-4303-aa9e-fcca0a266e19,""Enchantment"""
"1,Ninja Pizza,Ramp,"""",""Green"",3,74c24ff9-d3d2-4ffb-bf8b-dba803481a99,""Enchantment"""
"1,Nuka-Cola Vending Machine,Tokens,"""","""",3,405df7c7-0e37-499e-9826-6bf9f5db7a40,""Artifact"""
"1,Party Dude,Draw,"""",""Green"",1,d27b6f2a-84df-4097-a66a-8e463db47f58,""Enchantment"""
"1,Peregrin Took,Draw,"""",""Green"",3,f5baee8d-88e7-4468-94a9-66ca8e2caf15,""Creature"""
"1,Phyrexian Arena,Draw,"""",""Black"",3,0784b6f0-9ebf-43d2-ba0f-a6bc93ba0c48,""Enchantment"""
"1,Pitiless Plunderer,Ramp,"""",""Black"",4,1ac61e84-94d6-4ff7-a00f-29de93f09a38,""Creature"""
"1,""Pizza Face, Gastromancer"",Counters,"""",""Green,Black"",5,b03cf0bb-3207-4e8e-bb3f-e3e4367aa86e,""Creature,Artifact"""
"1,Provisions Merchant,Sideboard,""Pump"",""Green"",4,a015282d-bcd4-44ab-ae26-41e4e3b23fc0,""Creature"""
"1,Rapacious Guest,Tokens,"""",""Black"",3,ff9dfba4-07d2-4407-a441-88acc7284d43,""Creature"""
"1,Read the Bones,Draw,"""",""Black"",3,f411a143-2580-4358-b46e-d390cdba965f,""Sorcery"""
"1,Restless Cottage,Land,"""","""",0,787eadf3-5005-4ae5-820f-4012a4d4e1a5,""Land"""
"1,Rushed Rebirth,Tutor,"""",""Green,Black"",2,07b7c952-5ab7-4546-8369-4d213bf868bf,""Instant"""
"1,Savor,Sideboard,""Removal"",""Black"",2,1397f689-dca1-4d35-864b-92c5606afb9a,""Instant"""
"1,Savvy Hunter,Draw,"""",""Green,Black"",3,2285b3a3-782e-4acd-bf32-cb116c27b883,""Creature"""
"1,Scavenger's Talent,Tokens,"""",""Black"",1,9a52b7fe-87ae-425b-85fd-b24e6e0395f1,""Enchantment"""
"1,Scurry of Squirrels,Tokens,"""",""Green"",3,c343b965-af2b-45c3-babb-9242736cf1e5,""Creature"""
"1,Selfless Safewright,Protection,"""",""Green"",5,ac95b1c3-9eb2-4f80-bb32-72b36817d622,""Creature"""
"1,""Shelob, Child of Ungoliant"",Maybeboard,""Tokens"",""Green,Black"",6,a14c4b29-3363-45ce-9190-0f79e1a0ef7f,""Creature"""
"1,Shelob's Ambush,Sideboard,""Removal"",""Black"",1,25e69fa8-7339-4bfa-8e35-9cbfe0001d8b,""Instant"""
"1,Soulstone Sanctuary,Land,"""","""",0,642553a7-6d0f-483d-a873-3a703786db42,""Land"""
"1,Stocking the Pantry,Maybeboard,""Draw"",""Green"",1,50e95c7b-f0b2-4276-8c5e-4191b7ba35d1,""Enchantment"""
"15,Swamp,Land,"""","""",0,5cb03b18-d74c-4c89-9539-3549d2e8ff5f,""Land"""
"1,Swarmyard Massacre,Removal,"""",""Black"",5,8486f472-afad-4fdd-a57a-d20d8871b543,""Sorcery"""
"1,Sweettooth Witch,Sideboard,""Counters"",""Black"",3,a6bdb984-06f8-4bca-a943-17fe5db97682,""Creature"""
"1,Tainted Treats,Removal,"""",""Green,Black"",3,fa684608-ecd3-43e2-99a1-71318f133e29,""Instant"""
"1,The Cabbage Merchant,Ramp,"""",""Green"",3,2fea0356-6684-4730-9eb4-0262856bc1f9,""Creature"""
"1,The Odd Acorn Gang,Draw,"""",""Green,Black"",5,791d9ea0-c70a-47a6-b8a3-0f5d36a5c44d,""Creature"""
"1,The Shire,Land,"""","""",0,d5178a1b-588b-4414-a370-ac6eed51187a,""Land"""
"1,Thornvault Forager,Ramp,"""",""Green"",2,8c2d6b02-a453-40f9-992a-5c5542987cfb,""Creature"""
"1,Tireless Provisioner,Ramp,"""",""Green"",3,5dbc2162-238d-492b-b629-94f771230d92,""Creature"""
"1,Tough Cookie,Tokens,"""",""Green"",2,09ffe48f-abfa-4110-805e-35671b42386d,""Creature,Artifact"""
"1,Trail of Crumbs,Draw,"""",""Green"",2,198be33b-d6d1-4c96-bdfa-4b4098079042,""Enchantment"""
