Quantity,Name,Category,Secondary categories,Colors,Mana Value,Scryfall ID,Types
"1,Alpha Deathclaw,Removal,"""",""Green,Black"",6,ca4c8b04-66af-4cb3-8003-9088d8344b20,""Creature"""
"1,Arachnogenesis,Protection,"""",""Green"",3,f5f18431-64c0-4ae5-bdc1-1e953313f086,""Instant"""
"1,Ash Barrens,Land,"""","""",0,82fec728-2bf5-40a5-b3d7-02f366271c0c,""Land"""
"1,Barren Moor,Land,"""","""",0,1517f3b6-579d-472f-a44e-ad7545407509,""Land"""
"1,Beast Within,Removal,"""",""Green"",3,79cd18e8-bffd-4937-b912-1b09bb4d2d4c,""Instant"""
"1,Binding the Old Gods,Removal,"""",""Green,Black"",4,c04bcc93-78b6-4e30-9129-76e2f4b60230,""Enchantment"""
"1,Bojuka Bog,Land,"""","""",0,529c38b3-7397-4dac-9859-acd9cd451c32,""Land"""
"1,Buried Alive,Tutor,"""",""Black"",3,76878b19-2916-4f3f-bee5-20846bc9e2db,""Sorcery"""
"1,Cemetery Tampering,Mill,"""",""Black"",3,b6d4cf14-c43e-454b-ae76-3678617067f8,""Enchantment"""
"1,Command Tower,Land,"""","""",0,3edb78c2-0a3c-46e1-a7ff-97dbd8402495,""Land"""
"1,Convert to Slime,Removal,"""",""Green,Black"",5,a4dfb147-10f6-49f1-b777-12125e87189b,""Sorcery"""
"1,Crawling Sensation,Mill,"""",""Green"",3,172e0282-0a9b-4067-9c45-5bb0a115081f,""Enchantment"""
"1,Culling Ritual,Removal,"""",""Green,Black"",4,bccb063c-6bd5-411f-86ce-9a7c054e34d3,""Sorcery"""
"1,Cynical Loner,Tutor,"""",""Black"",2,cc93bcb8-778d-491e-877b-e6ad432764cb,""Creature"""
"1,Dakmor Salvage,Land,"""","""",0,58329049-2141-498a-8b73-653610c05ea6,""Land"""
"1,Darkmoss Bridge,Land,"""","""",0,f11f0be9-b9f7-45d2-9499-c5d849d7289f,""Artifact,Land"""
"1,Darksteel Citadel,Land,"""","""",0,212eb06d-5bc3-484f-8e94-ee0f32a2d86a,""Artifact,Land"""
"1,Deadbridge Chant,Recursion,"""",""Green,Black"",6,e67b8f21-c173-4d1d-8224-2eba4bcc6975,""Enchantment"""
"1,Deathreap Ritual,Draw,"""",""Green,Black"",4,7ff6346a-5154-4c93-9a24-8b1936683517,""Enchantment"""
"1,Deluge of Doom,Removal,"""",""Black"",3,948927b2-087a-4f57-844e-68fc8ab01bc0,""Sorcery"""
"1,Demolisher Spawn,Finisher,"""",""Green"",7,16b97600-e4cf-4b9e-8f2d-2eb74298eb54,""Creature,Enchantment"""
"1,Demolition Field,Land,"""","""",0,47994cb6-204a-4fbe-a9d4-5798a70c95ab,""Land"""
"1,Diamond Weapon,Creature,"""",""Green"",9,bb17f0c0-4738-42a0-94e1-27344f13735f,""Creature,Artifact"""
