Total_runs	Turns	Color_count
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	0	1
18	0	1
19	0	1
20	0	1
21	0	1
22	0	1
23	0	1
24	0	1
25	0	1
26	0	1
27	0	1
28	0	1
29	0	1
31	0	1
32	0	1
34	0	1
35	0	1
36	0	1
37	0	1
39	0	1
40	0	1
41	0	1
42	0	1
44	0	1
45	0	1
46	0	1
47	0	1
48	0	1
50	0	1
51	0	1
52	0	1
53	0	1
54	0	1
55	0	1
56	0	1
57	0	1
58	0	1
59	0	1
60	0	1
61	0	1
62	0	1
64	0	1
65	0	1
66	0	1
67	0	1
68	0	1
69	0	1
70	0	1
71	0	1
72	0	1
73	0	1
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	0	1
80	0	1
81	0	1
82	0	1
83	0	1
84	0	1
85	0	1
86	0	1
87	0	1
88	0	1
89	0	1
90	0	1
92	0	1
94	0	1
95	0	1
96	0	1
97	0	1
98	0	1
99	0	1
100	0	1
1	2	2
2	0	2
3	0	2
6	5	2
7	0	2
8	5	2
9	0	2
10	0	2
13	0	2
14	0	2
16	0	2
17	0	2
18	0	2
20	0	2
21	0	2
22	6	2
23	0	2
24	5	2
25	0	2
26	9	2
27	2	2
28	0	2
30	0	2
31	0	2
32	0	2
33	0	2
34	6	2
35	0	2
36	0	2
37	0	2
38	0	2
39	5	2
40	0	2
41	0	2
42	0	2
43	0	2
44	0	2
45	6	2
46	0	2
47	2	2
48	0	2
49	0	2
50	5	2
51	5	2
52	0	2
53	0	2
54	0	2
55	0	2
56	0	2
57	4	2
58	0	2
59	0	2
60	3	2
61	0	2
62	4	2
63	0	2
64	0	2
65	1	2
66	0	2
67	0	2
68	0	2
69	0	2
70	0	2
71	0	2
72	1	2
73	0	2
74	1	2
75	0	2
76	0	2
77	1	2
78	0	2
79	3	2
80	7	2
81	0	2
82	0	2
83	0	2
85	0	2
86	0	2
88	0	2
89	0	2
90	4	2
92	0	2
93	0	2
95	0	2
98	0	2
99	0	2
100	0	2
1	0	3
2	2	3
3	0	3
4	14	3
5	0	3
6	2	3
8	7	3
9	11	3
10	0	3
11	1	3
12	5	3
13	0	3
14	4	3
15	12	3
16	6	3
17	16	3
18	7	3
19	0	3
20	2	3
21	0	3
22	11	3
23	0	3
24	0	3
25	2	3
26	9	3
28	4	3
29	9	3
30	14	3
31	13	3
32	0	3
33	0	3
34	0	3
35	7	3
37	3	3
38	1	3
39	2	3
40	11	3
41	1	3
42	7	3
43	0	3
44	0	3
45	9	3
46	0	3
47	0	3
50	12	3
51	12	3
52	2	3
53	9	3
54	5	3
55	6	3
56	3	3
57	0	3
59	6	3
60	22	3
61	20	3
64	0	3
66	9	3
67	0	3
68	3	3
69	0	3
71	1	3
72	6	3
73	22	3
74	0	3
75	3	3
76	0	3
77	0	3
78	2	3
79	0	3
80	10	3
83	12	3
84	3	3
85	0	3
88	10	3
89	15	3
90	3	3
91	0	3
92	2	3
93	5	3
94	3	3
95	17	3
96	3	3
97	0	3
98	1	3
99	6	3
2	16	4
3	2	4
4	30	4
5	1	4
6	9	4
7	11	4
8	28	4
10	13	4
11	15	4
12	16	4
13	36	4
15	4	4
16	8	4
17	10	4
18	0	4
19	12	4
20	4	4
21	4	4
22	11	4
23	2	4
24	19	4
25	4	4
26	19	4
27	12	4
28	4	4
29	8	4
30	10	4
31	5	4
32	14	4
33	16	4
35	5	4
36	35	4
37	4	4
38	13	4
39	20	4
40	10	4
41	40	4
42	5	4
44	11	4
45	7	4
47	18	4
48	5	4
49	7	4
50	23	4
51	12	4
52	5	4
53	23	4
54	9	4
56	9	4
57	28	4
58	32	4
59	10	4
60	8	4
61	23	4
62	25	4
63	23	4
64	0	4
66	6	4
67	16	4
68	7	4
69	9	4
70	31	4
71	4	4
72	8	4
73	17	4
74	15	4
75	6	4
76	0	4
77	3	4
79	19	4
81	10	4
82	18	4
83	0	4
84	9	4
86	20	4
87	8	4
88	18	4
89	4	4
90	3	4
91	5	4
93	13	4
95	13	4
96	5	4
97	18	4
98	19	4
99	15	4
100	1	4
1	32	5
3	28	5
4	17	5
7	5	5
8	9	5
9	2	5
10	16	5
11	20	5
12	20	5
13	23	5
15	5	5
17	19	5
18	14	5
19	35	5
20	8	5
22	19	5
23	12	5
24	6	5
25	4	5
26	5	5
27	4	5
28	10	5
29	14	5
30	8	5
31	30	5
32	36	5
33	48	5
34	9	5
35	22	5
36	34	5
37	13	5
38	18	5
39	15	5
40	7	5
41	20	5
42	15	5
43	7	5
44	32	5
45	22	5
47	3	5
48	7	5
49	14	5
50	17	5
51	24	5
52	15	5
53	23	5
54	9	5
55	9	5
56	13	5
57	8	5
58	15	5
59	17	5
60	19	5
61	24	5
62	28	5
63	12	5
64	17	5
65	33	5
66	24	5
67	23	5
68	19	5
69	27	5
70	12	5
71	8	5
72	6	5
73	30	5
74	11	5
75	36	5
76	7	5
77	26	5
78	13	5
79	47	5
80	15	5
81	33	5
82	0	5
83	16	5
84	7	5
86	18	5
87	9	5
88	18	5
89	4	5
90	29	5
91	6	5
92	19	5
93	10	5
94	26	5
95	18	5
96	8	5
97	39	5
98	19	5
99	25	5
100	13	5
