Total_runs	Turns
1	0
2	9
3	8
4	7
5	0
6	0
7	10
8	0
9	5
11	0
13	2
14	2
16	1
17	10
18	1
19	10
21	6
22	0
23	5
24	7
25	6
26	0
27	5
28	7
29	5
30	5
31	10
32	0
33	9
34	0
35	6
36	1
37	0
38	6
40	12
41	6
42	0
43	6
44	8
46	2
47	8
49	1
50	0
51	5
52	24
54	0
55	0
56	17
57	0
58	0
59	1
60	0
61	0
63	8
64	3
65	0
66	0
67	10
68	2
69	3
70	2
71	2
72	8
73	0
74	0
75	0
76	1
77	0
78	7
79	1
80	0
81	0
82	16
83	0
84	2
85	5
86	13
87	4
88	1
89	11
91	2
92	5
93	3
94	5
95	0
96	0
97	3
98	9
99	4
100	0
101	1
102	3
103	4
104	0
105	13
106	0
107	5
109	8
110	7
111	5
112	17
113	1
114	5
115	12
116	0
118	15
119	1
120	11
121	2
122	1
123	9
124	2
125	6
126	4
127	0
128	1
129	0
130	6
131	6
132	8
133	3
134	0
135	3
136	12
138	0
139	0
140	0
141	0
142	0
143	9
144	14
147	3
148	10
149	9
150	0
152	2
154	1
155	7
156	13
157	0
158	4
160	25
163	10
164	26
166	2
167	15
168	0
169	11
171	1
174	0
175	4
176	20
177	3
178	7
179	2
180	11
181	0
182	5
183	5
184	20
185	0
186	0
188	4
189	6
190	0
191	6
192	0
193	5
194	7
195	1
196	4
198	0
199	0
200	0
201	0
202	1
203	0
205	3
206	8
207	21
209	2
210	0
211	0
212	16
213	5
214	0
215	0
216	6
217	6
218	0
219	3
220	6
221	6
222	13
223	18
224	0
225	0
226	3
227	0
228	5
229	1
230	4
231	19
232	26
233	20
234	2
235	1
236	4
237	0
238	0
239	5
240	0
241	0
242	7
243	12
244	0
245	4
246	9
247	2
248	4
249	3
250	10
251	2
252	7
253	2
254	0
255	2
256	28
257	0
258	0
259	7
260	0
261	2
262	7
263	7
265	3
266	0
267	4
268	0
269	2
270	0
271	10
274	8
277	11
278	0
281	0
282	0
283	2
284	2
285	7
286	6
287	13
288	3
289	1
291	12
293	5
295	2
296	10
297	0
300	15
301	5
302	9
303	0
304	0
305	5
306	3
307	6
308	0
309	1
310	24
311	0
312	8
313	10
314	0
315	10
316	24
317	0
318	6
319	11
320	0
321	19
322	10
323	1
324	4
325	14
326	1
327	5
328	1
329	1
330	16
331	7
332	6
333	6
334	9
335	2
336	0
337	5
339	8
340	7
341	12
342	0
343	1
344	1
346	5
347	7
348	0
350	2
352	0
353	1
354	5
356	2
357	0
358	1
359	10
360	0
361	9
362	7
363	1
364	6
365	2
366	10
367	6
368	10
369	7
370	4
371	11
372	0
373	5
374	14
375	0
376	6
377	2
378	0
379	12
381	6
382	2
383	0
384	35
385	10
386	4
387	4
388	2
390	7
391	0
392	3
394	5
395	8
397	16
398	0
399	17
400	4
401	0
402	0
403	0
404	0
405	9
406	1
407	2
408	0
409	4
411	1
414	0
415	0
416	15
417	14
418	3
419	2
420	9
421	17
422	0
423	10
425	14
427	7
428	24
429	4
430	12
431	0
432	6
433	2
434	2
435	0
436	4
438	5
439	6
440	12
441	0
442	3
443	0
444	7
445	9
446	14
447	0
448	3
449	0
450	0
451	3
452	3
453	2
455	0
456	0
457	4
458	3
460	2
461	21
462	1
463	3
464	0
465	2
466	5
467	0
468	0
469	0
470	15
471	13
472	0
473	10
474	15
476	5
477	4
478	1
479	14
480	0
481	0
482	3
483	3
484	11
485	13
486	2
487	9
488	1
489	0
490	4
491	4
493	3
494	5
495	0
496	3
497	3
498	1
499	8
501	3
502	1
503	1
504	4
505	8
507	4
508	7
509	0
510	12
511	0
512	23
514	6
515	3
516	16
517	12
518	7
519	13
521	1
522	0
524	24
525	4
526	12
527	14
528	0
529	1
530	7
531	8
532	16
533	0
534	0
535	9
536	19
537	5
538	6
539	0
540	0
541	14
542	3
543	1
544	1
545	1
546	1
547	7
548	3
549	5
551	16
553	5
554	11
555	2
556	13
557	2
558	0
559	9
560	1
561	15
562	2
563	15
564	0
565	1
566	7
567	0
568	0
569	3
571	1
572	2
573	0
574	1
575	6
576	0
577	2
579	0
580	18
581	0
582	0
583	22
585	0
586	18
588	7
589	18
590	21
591	0
593	11
594	12
595	2
596	14
597	0
598	6
599	2
600	1
601	5
602	3
603	7
606	0
607	0
608	0
609	3
610	1
611	0
612	7
614	2
615	0
616	15
617	3
618	1
619	0
620	1
621	0
622	1
623	4
624	6
625	5
627	17
628	0
629	0
631	4
632	3
633	1
634	16
635	0
636	16
637	21
638	7
639	0
640	3
641	1
642	8
643	11
644	4
646	14
647	2
649	10
650	11
651	5
652	22
653	0
654	0
655	3
656	6
657	18
658	13
659	0
660	11
661	3
663	6
664	2
665	0
666	4
667	0
668	0
669	5
675	0
677	6
678	0
679	0
680	1
681	0
682	2
683	4
684	2
685	6
686	11
687	0
688	0
689	13
690	12
691	2
692	0
693	11
694	15
695	1
696	1
698	19
699	0
700	0
702	9
703	6
704	0
705	2
706	13
707	3
709	0
710	23
711	8
712	2
713	0
714	10
715	16
717	12
718	5
719	11
720	7
721	1
722	0
723	4
724	3
726	0
727	5
728	13
729	6
730	11
731	2
732	6
733	15
734	0
735	4
736	0
737	1
739	2
740	0
741	0
742	16
743	5
744	18
745	0
746	1
748	0
749	23
751	4
753	9
754	0
755	14
757	2
758	0
759	5
760	2
762	18
763	2
764	12
765	15
767	11
768	0
769	5
770	6
771	4
772	11
773	8
774	3
775	14
777	5
778	6
780	11
781	0
782	1
783	2
784	3
785	4
786	0
788	2
789	0
790	2
791	0
792	0
793	9
796	8
797	16
798	1
801	6
802	4
803	0
804	4
806	14
807	1
808	0
809	0
810	0
811	3
812	4
814	10
815	15
816	5
817	2
818	0
819	0
821	1
822	0
824	7
825	7
826	0
827	12
828	0
829	12
830	2
831	2
833	0
834	3
837	0
838	0
839	4
840	8
841	1
842	0
843	0
844	11
845	11
846	5
847	10
848	5
849	5
850	1
851	0
852	4
853	2
854	12
855	6
856	3
857	0
858	5
859	7
860	5
861	10
862	3
863	6
864	14
865	1
866	9
867	1
868	0
869	6
872	4
873	3
874	6
875	10
876	0
877	2
878	23
881	3
882	8
883	5
884	0
885	1
886	1
890	3
891	3
892	8
893	0
894	13
895	0
896	0
897	1
898	1
899	3
900	0
901	10
902	7
903	13
904	2
905	1
906	0
907	0
909	14
910	8
911	4
912	0
913	0
914	0
915	12
916	1
917	2
919	6
920	5
921	0
922	3
923	0
924	0
925	5
926	0
927	0
928	4
929	0
931	0
932	0
934	0
935	12
936	26
938	2
939	2
940	0
942	0
945	6
946	4
947	0
948	10
949	14
950	4
951	0
952	2
953	0
954	3
955	0
957	9
958	0
959	0
960	3
961	1
962	3
964	10
965	14
966	5
967	0
969	8
970	15
971	9
972	0
973	8
974	3
975	0
976	2
977	4
978	2
979	3
981	3
982	6
983	5
984	7
985	0
987	10
989	12
990	0
992	3
993	2
994	5
995	16
996	2
997	1
998	3
999	16
1001	0
1002	17
1004	8
1005	0
1006	0
1008	0
1010	0
1011	4
1012	20
1013	0
1014	7
1015	0
1016	13
1017	11
1018	2
1019	0
1020	6
1021	14
1022	0
1023	18
1024	0
1025	9
1026	8
1027	0
1028	26
1029	4
1030	2
1031	2
1034	2
1035	0
1037	20
1038	17
1040	0
1041	4
1042	0
1044	10
1045	0
1046	12
1047	8
1048	6
1049	1
1050	13
1051	0
1052	0
1053	3
1054	6
1055	21
1056	5
1057	0
1058	13
1060	12
1061	1
1062	1
1063	4
1064	6
1065	0
1066	1
1067	0
1068	15
1070	2
1071	1
1072	4
1073	2
1074	0
1076	11
1077	0
1079	1
1080	2
1081	2
1082	1
1083	0
1084	9
1085	0
1086	0
1087	4
1088	2
1089	11
1090	6
1091	3
1092	3
1093	0
1095	5
1096	2
1097	0
1098	2
1099	5
1100	4
1101	4
1102	7
1103	12
1104	0
1105	0
1106	0
1107	3
1108	3
1109	3
1111	3
1112	1
1113	2
1115	7
1117	0
1119	2
1120	1
1121	11
1122	4
1123	1
1124	0
1125	5
1126	4
1127	3
1129	4
1130	1
1131	0
1132	0
1133	6
1135	8
1137	17
1138	0
1139	0
1140	1
1141	2
1142	0
1145	13
1146	6
1148	6
1149	0
1150	3
1151	4
1153	0
1154	0
1155	5
1156	1
1157	13
1158	1
1159	5
1160	4
