1	1_2	1_3	2	2_3	3	Other	0	1	2	3
14	0	0	13	0	13	59	0.02291588118099374	0.23860496778699353	0.5074592174855017	0.23101993354653746
13	1	0	13	0	13	59	0.02291588118099374	0.22811000057084804	0.4990709942436193	0.24990312400456377
13	1	1	12	0	13	59	0.02291588118099374	0.21848961395604805	0.49100736210545926	0.2675871427575245
13	1	1	12	1	12	59	0.02291588118099374	0.20886922734124802	0.48086997766088696	0.2873449138168974
12	2	1	12	1	12	59	0.02291588118099374	0.199248840726448	0.4728063455227274	0.3050289325698578
12	2	2	11	1	12	59	0.02291588118099374	0.19044144452979997	0.46506704721738834	0.3215756270718442
12	2	2	11	2	11	59	0.02291588118099374	0.18163404833315194	0.45537743424292343	0.340072636242956
11	3	2	11	2	11	59	0.02291588118099374	0.17282665213650394	0.44763813593758445	0.35661933074494445
11	3	3	10	2	11	59	0.02291588118099374	0.16477417561385455	0.4402218241178851	0.3720881190872917
11	3	3	10	3	10	59	0.02291588118099374	0.15672169909120512	0.43097268646455	0.38938973326327725
10	4	3	10	3	10	59	0.02291588118099374	0.1486692225685557	0.42355637464485124	0.4048585216056272
10	4	4	9	3	10	59	0.02291588118099374	0.1413169613957017	0.41646070028641363	0.4193064571369185
10	4	4	9	4	9	59	0.02291588118099374	0.13396470022284776	0.407643957767123	0.4354754608290634
9	5	4	9	4	9	59	0.02291588118099374	0.1266124390499938	0.4005482834086862	0.44992339636035245
9	5	5	8	4	9	59	0.02291588118099374	0.11990890680415645	0.39376998058170853	0.46340523143316836
9	5	5	8	5	8	59	0.02291588118099374	0.11320537455831904	0.38537684836923813	0.4785018958914739
8	6	5	8	5	8	59	0.02291588118099374	0.10650184231248165	0.3785985455422602	0.4919837309642905
8	6	6	7	5	8	59	0.02291588118099374	0.10039862638716711	0.3721335126231355	0.5045519798087287
8	6	6	7	6	7	59	0.02291588118099374	0.09429541046185255	0.3641545771551123	0.5186341312020663
7	7	6	7	6	7	59	0.02291588118099374	0.08819219453653801	0.3576895442359884	0.5312023800465075
7	7	7	6	6	7	59	0.02291588118099374	0.08264381642261559	0.35153292162595945	0.5429073807704589
7	7	7	6	7	6	59	0.02291588118099374	0.07709543830869314	0.3439582130840507	0.5560304674262911
6	8	7	6	7	6	59	0.02291588118099374	0.07154706019477071	0.3378015904740214	0.567735468150237
6	8	8	5	7	6	59	0.02291588118099374	0.06651084006059499	0.33194783489202784	0.5786254438664085
6	8	8	5	8	5	59	0.02291588118099374	0.06147461992641929	0.3247668963225058	0.5908426025701067
5	9	8	5	8	5	59	0.02291588118099374	0.05643839979224358	0.3189131407405124	0.6017325782862774
5	9	9	4	8	5	59	0.02291588118099374	0.05187432529564689	0.3133560961574142	0.6118536973659717
5	9	9	4	9	4	59	0.02291588118099374	0.04731025079905019	0.3065580493002634	0.6232158187197216
4	10	9	4	9	4	59	0.02291588118099374	0.0427461763024535	0.3010010047171636	0.6333369377994157
4	10	10	3	9	4	59	0.02291588118099374	0.03861677556743743	0.29573396999850593	0.6427333732530917
4	10	10	3	10	3	59	0.02291588118099374	0.034487374832421355	0.28930757789224615	0.6532891660943675
3	11	10	3	10	3	59	0.02291588118099374	0.030357974097405288	0.28404054317358807	0.6626856015480405
3	11	11	2	10	3	59	0.02291588118099374	0.02662819278835849	0.2790563364980865	0.6713995895325874
3	11	11	2	11	2	59	0.02291588118099374	0.022898411479311702	0.27299006292748984	0.6811956444122284
2	12	11	2	11	2	59	0.02291588118099374	0.01916863017026491	0.26800585625198914	0.6899096323967744
2	12	12	1	11	2	59	0.02291588118099374	0.015805712596534224	0.2632968763729041	0.6979815298495935
2	12	12	1	12	1	59	0.02291588118099374	0.012442795022803542	0.2575789422267704	0.7070623815694593
1	13	12	1	12	1	59	0.02291588118099374	0.009079877449072859	0.25286996234768544	0.7151342790222763
1	13	13	0	12	1	59	0.02291588118099374	0.0060532516327152395	0.24842824676425507	0.7226026204220618
1	13	13	0	13	0	59	0.02291588118099374	0.0030266258163576198	0.24304668337042376	0.7310108096322496
0	14	13	0	13	0	59	0.02291588118099374	0	0.23860496778699353	0.738479151032039
