1	1_2	2	Other	0	1	2
20	0	20	59	0.02291588118099374	0.34360164569287377	0.6334824731261589
19	1	20	59	0.02291588118099374	0.3263482668550003	0.650735851964033
19	2	19	59	0.02291588118099374	0.30909488801712687	0.6679892308019068
18	3	19	59	0.02291588118099374	0.29316869216678176	0.683915426652251
18	4	18	59	0.02291588118099374	0.27724249631643666	0.6998416225025955
17	5	18	59	0.02291588118099374	0.26255730274014444	0.7145268160788869
17	6	17	59	0.02291588118099374	0.2478721091638523	0.729212009655179
16	7	17	59	0.02291588118099374	0.23434627297516242	0.7427378458438701
16	8	16	59	0.02291588118099374	0.22082043678647256	0.75626368203256
15	9	16	59	0.02291588118099374	0.2083766674928777	0.7687074513261554
15	10	15	59	0.02291588118099374	0.1959328981992829	0.7811512206197498
14	11	15	59	0.02291588118099374	0.18449808317273625	0.792586035646296
14	12	14	59	0.02291588118099374	0.17306326814618966	0.8040208506728429
13	13	14	59	0.02291588118099374	0.16256830093004418	0.8145158178889881
13	14	13	59	0.02291588118099374	0.1520733337138987	0.8250107851051337
12	15	13	59	0.02291588118099374	0.1424529470990987	0.8346311717199334
12	16	12	59	0.02291588118099374	0.13283256048429867	0.844251558334734
11	17	12	59	0.02291588118099374	0.12402516428765065	0.853058954531381
11	18	11	59	0.02291588118099374	0.11521776809100262	0.8618663507280284
10	19	11	59	0.02291588118099374	0.10716529156835322	0.8699188272506795
10	20	10	59	0.02291588118099374	0.09911281504570381	0.8779713037733299
9	21	10	59	0.02291588118099374	0.09176055387284984	0.8853235649461821
9	22	9	59	0.02291588118099374	0.08440829269999589	0.8926758261190366
8	23	9	59	0.02291588118099374	0.0777047604541585	0.8993793583648739
8	24	8	59	0.02291588118099374	0.0710012282083211	0.9060828906107112
7	25	8	59	0.02291588118099374	0.06489801228300655	0.9121861065360256
7	26	7	59	0.02291588118099374	0.058794796357692004	0.9182893224613413
6	27	7	59	0.02291588118099374	0.05324641824376957	0.9238377005752623
6	28	6	59	0.02291588118099374	0.04769804012984714	0.9293860786891845
5	29	6	59	0.02291588118099374	0.042661819995671424	0.9344222988233607
5	30	5	59	0.02291588118099374	0.037625599861495725	0.939458518957536
4	31	5	59	0.02291588118099374	0.03306152536489903	0.9440225934541328
4	32	4	59	0.02291588118099374	0.02849745086830233	0.9485866679507299
3	33	4	59	0.02291588118099374	0.024368050133286263	0.9527160686857461
3	34	3	59	0.02291588118099374	0.020238649398270192	0.9568454694207568
2	35	3	59	0.02291588118099374	0.016508868089223395	0.9605752507298102
2	36	2	59	0.02291588118099374	0.012779086780176606	0.9643050320388598
1	37	2	59	0.02291588118099374	0.009416169206445923	0.96766794961258
1	38	1	59	0.02291588118099374	0.0060532516327152395	0.9710308671863158
0	39	1	59	0.02291588118099374	0.0030266258163576198	0.9740574930026752
0	40	0	59	0.02291588118099374	0	0.9770841188190426
