Dual_land	Cards_drawn	Color_Counts	Color_Counts_during_trials
0	7	0	250
0	7	1	1743
0	7	2	3978
0	7	3	3116
0	7	4	853
0	7	5	60
0	7	Mulligan	1423
1	7	0	230
1	7	1	1722
1	7	2	3781
1	7	3	3215
1	7	4	954
1	7	5	98
1	7	Mulligan	1448
2	7	0	224
2	7	1	1662
2	7	2	3662
2	7	3	3241
2	7	4	1096
2	7	5	115
2	7	Mulligan	1444
3	7	0	230
3	7	1	1643
3	7	2	3602
3	7	3	3186
3	7	4	1204
3	7	5	135
3	7	Mulligan	1456
4	7	0	249
4	7	1	1513
4	7	2	3503
4	7	3	3221
4	7	4	1355
4	7	5	159
4	7	Mulligan	1454
5	7	0	225
5	7	1	1490
5	7	2	3338
5	7	3	3362
5	7	4	1423
5	7	5	162
5	7	Mulligan	1441
6	7	0	239
6	7	1	1430
6	7	2	3370
6	7	3	3255
6	7	4	1470
6	7	5	236
6	7	Mulligan	1434
7	7	0	223
7	7	1	1318
7	7	2	3074
7	7	3	3454
7	7	4	1621
7	7	5	310
7	7	Mulligan	1401
8	7	0	240
8	7	1	1338
8	7	2	3028
8	7	3	3351
8	7	4	1691
8	7	5	352
8	7	Mulligan	1526
9	7	0	241
9	7	1	1246
9	7	2	2884
9	7	3	3390
9	7	4	1887
9	7	5	352
9	7	Mulligan	1447
10	7	0	252
10	7	1	1214
10	7	2	2685
10	7	3	3451
10	7	4	1979
10	7	5	419
10	7	Mulligan	1448
11	7	0	225
11	7	1	1143
11	7	2	2739
11	7	3	3455
11	7	4	1999
11	7	5	439
11	7	Mulligan	1398
12	7	0	232
12	7	1	1121
12	7	2	2668
12	7	3	3411
12	7	4	2109
12	7	5	459
12	7	Mulligan	1465
13	7	0	285
13	7	1	1036
13	7	2	2577
13	7	3	3340
13	7	4	2217
13	7	5	545
13	7	Mulligan	1484
14	7	0	224
14	7	1	1033
14	7	2	2579
14	7	3	3282
14	7	4	2333
14	7	5	549
14	7	Mulligan	1470
15	7	0	244
15	7	1	963
15	7	2	2450
15	7	3	3356
15	7	4	2387
15	7	5	600
15	7	Mulligan	1500
16	7	0	219
16	7	1	881
16	7	2	2416
16	7	3	3395
16	7	4	2462
16	7	5	627
16	7	Mulligan	1427
17	7	0	252
17	7	1	845
17	7	2	2278
17	7	3	3337
17	7	4	2576
17	7	5	712
17	7	Mulligan	1433
18	7	0	224
18	7	1	796
18	7	2	2237
18	7	3	3339
18	7	4	2584
18	7	5	820
18	7	Mulligan	1419
19	7	0	214
19	7	1	765
19	7	2	2144
19	7	3	3292
19	7	4	2731
19	7	5	854
19	7	Mulligan	1465
20	7	0	233
20	7	1	729
20	7	2	2089
20	7	3	3263
20	7	4	2813
20	7	5	873
20	7	Mulligan	1451
21	7	0	227
21	7	1	659
21	7	2	2079
21	7	3	3327
21	7	4	2733
21	7	5	975
21	7	Mulligan	1451
22	7	0	250
22	7	1	652
22	7	2	1887
22	7	3	3241
22	7	4	2945
22	7	5	1025
22	7	Mulligan	1441
23	7	0	249
23	7	1	573
23	7	2	1932
23	7	3	3212
23	7	4	3028
23	7	5	1006
23	7	Mulligan	1449
24	7	0	208
24	7	1	565
24	7	2	1859
24	7	3	3201
24	7	4	3006
24	7	5	1161
24	7	Mulligan	1402
25	7	0	210
25	7	1	516
25	7	2	1929
25	7	3	3127
25	7	4	3021
25	7	5	1197
25	7	Mulligan	1455
26	7	0	252
26	7	1	444
26	7	2	1782
26	7	3	2946
26	7	4	3237
26	7	5	1339
26	7	Mulligan	1435
27	7	0	221
27	7	1	446
27	7	2	1811
27	7	3	3044
27	7	4	3218
27	7	5	1260
27	7	Mulligan	1504
28	7	0	243
28	7	1	372
28	7	2	1734
28	7	3	2976
28	7	4	3270
28	7	5	1405
28	7	Mulligan	1437
29	7	0	241
29	7	1	355
29	7	2	1660
29	7	3	2895
29	7	4	3311
29	7	5	1538
29	7	Mulligan	1426
30	7	0	219
30	7	1	339
30	7	2	1679
30	7	3	2915
30	7	4	3361
30	7	5	1487
30	7	Mulligan	1435
31	7	0	232
31	7	1	286
31	7	2	1546
31	7	3	2897
31	7	4	3437
31	7	5	1602
31	7	Mulligan	1408
32	7	0	254
32	7	1	284
32	7	2	1559
32	7	3	2848
32	7	4	3453
32	7	5	1602
32	7	Mulligan	1512
33	7	0	220
33	7	1	228
33	7	2	1583
33	7	3	2744
33	7	4	3526
33	7	5	1699
33	7	Mulligan	1445
34	7	0	220
34	7	1	181
34	7	2	1585
34	7	3	2750
34	7	4	3467
34	7	5	1797
34	7	Mulligan	1488
35	7	0	219
35	7	1	140
35	7	2	1468
35	7	3	2691
35	7	4	3650
35	7	5	1832
35	7	Mulligan	1317
36	7	0	224
36	7	1	127
36	7	2	1471
36	7	3	2581
36	7	4	3616
36	7	5	1981
36	7	Mulligan	1442
37	7	0	239
37	7	1	98
37	7	2	1532
37	7	3	2542
37	7	4	3629
37	7	5	1960
37	7	Mulligan	1536
38	7	0	229
38	7	1	68
38	7	2	1451
38	7	3	2503
38	7	4	3774
38	7	5	1975
38	7	Mulligan	1429
39	7	0	218
39	7	1	32
39	7	2	1502
39	7	3	2361
39	7	4	3753
39	7	5	2134
39	7	Mulligan	1480
40	7	0	247
40	7	1	0
40	7	2	1395
40	7	3	2427
40	7	4	3758
40	7	5	2173
40	7	Mulligan	1435
