Dual_land	Cards_drawn	Color_Counts	Color_Counts_during_trials
0	7	0	0
0	7	1	0
0	7	2	0
0	7	3	0
0	7	4	0
0	7	5	10000
0	7	Mulligan	0
1	7	0	0
1	7	1	0
1	7	2	0
1	7	3	0
1	7	4	0
1	7	5	10000
1	7	Mulligan	0
2	7	0	0
2	7	1	0
2	7	2	0
2	7	3	0
2	7	4	0
2	7	5	10000
2	7	Mulligan	0
3	7	0	0
3	7	1	0
3	7	2	0
3	7	3	0
3	7	4	0
3	7	5	10000
3	7	Mulligan	0
4	7	0	0
4	7	1	0
4	7	2	0
4	7	3	0
4	7	4	0
4	7	5	10000
4	7	Mulligan	0
5	7	0	0
5	7	1	0
5	7	2	0
5	7	3	0
5	7	4	0
5	7	5	10000
5	7	Mulligan	0
6	7	0	0
6	7	1	0
6	7	2	0
6	7	3	0
6	7	4	0
6	7	5	10000
6	7	Mulligan	0
7	7	0	0
7	7	1	0
7	7	2	0
7	7	3	0
7	7	4	0
7	7	5	10000
7	7	Mulligan	0
8	7	0	0
8	7	1	0
8	7	2	0
8	7	3	0
8	7	4	0
8	7	5	10000
8	7	Mulligan	0
9	7	0	0
9	7	1	0
9	7	2	0
9	7	3	0
9	7	4	0
9	7	5	10000
9	7	Mulligan	0
10	7	0	0
10	7	1	0
10	7	2	0
10	7	3	0
10	7	4	0
10	7	5	10000
10	7	Mulligan	0
11	7	0	0
11	7	1	0
11	7	2	0
11	7	3	0
11	7	4	0
11	7	5	10000
11	7	Mulligan	0
12	7	0	0
12	7	1	0
12	7	2	0
12	7	3	0
12	7	4	0
12	7	5	10000
12	7	Mulligan	0
13	7	0	0
13	7	1	0
13	7	2	0
13	7	3	0
13	7	4	0
13	7	5	10000
13	7	Mulligan	0
14	7	0	0
14	7	1	0
14	7	2	0
14	7	3	0
14	7	4	0
14	7	5	10000
14	7	Mulligan	0
15	7	0	0
15	7	1	0
15	7	2	0
15	7	3	0
15	7	4	0
15	7	5	10000
15	7	Mulligan	0
16	7	0	0
16	7	1	0
16	7	2	0
16	7	3	0
16	7	4	0
16	7	5	10000
16	7	Mulligan	0
17	7	0	0
17	7	1	0
17	7	2	0
17	7	3	0
17	7	4	0
17	7	5	10000
17	7	Mulligan	0
18	7	0	0
18	7	1	0
18	7	2	0
18	7	3	0
18	7	4	0
18	7	5	10000
18	7	Mulligan	0
19	7	0	0
19	7	1	0
19	7	2	0
19	7	3	0
19	7	4	0
19	7	5	10000
19	7	Mulligan	0
20	7	0	0
20	7	1	0
20	7	2	0
20	7	3	0
20	7	4	0
20	7	5	10000
20	7	Mulligan	0
21	7	0	0
21	7	1	0
21	7	2	0
21	7	3	0
21	7	4	0
21	7	5	10000
21	7	Mulligan	0
22	7	0	0
22	7	1	0
22	7	2	0
22	7	3	0
22	7	4	0
22	7	5	10000
22	7	Mulligan	0
23	7	0	0
23	7	1	0
23	7	2	0
23	7	3	0
23	7	4	0
23	7	5	10000
23	7	Mulligan	0
24	7	0	0
24	7	1	0
24	7	2	0
24	7	3	0
24	7	4	0
24	7	5	10000
24	7	Mulligan	0
25	7	0	0
25	7	1	0
25	7	2	0
25	7	3	0
25	7	4	0
25	7	5	10000
25	7	Mulligan	0
26	7	0	0
26	7	1	0
26	7	2	0
26	7	3	0
26	7	4	0
26	7	5	10000
26	7	Mulligan	0
27	7	0	0
27	7	1	0
27	7	2	0
27	7	3	0
27	7	4	0
27	7	5	10000
27	7	Mulligan	0
28	7	0	0
28	7	1	0
28	7	2	0
28	7	3	0
28	7	4	0
28	7	5	10000
28	7	Mulligan	0
29	7	0	0
29	7	1	0
29	7	2	0
29	7	3	0
29	7	4	0
29	7	5	10000
29	7	Mulligan	0
30	7	0	0
30	7	1	0
30	7	2	0
30	7	3	0
30	7	4	0
30	7	5	10000
30	7	Mulligan	0
31	7	0	0
31	7	1	0
31	7	2	0
31	7	3	0
31	7	4	0
31	7	5	10000
31	7	Mulligan	0
32	7	0	0
32	7	1	0
32	7	2	0
32	7	3	0
32	7	4	0
32	7	5	10000
32	7	Mulligan	0
33	7	0	0
33	7	1	0
33	7	2	0
33	7	3	0
33	7	4	0
33	7	5	10000
33	7	Mulligan	0
34	7	0	0
34	7	1	0
34	7	2	0
34	7	3	0
34	7	4	0
34	7	5	10000
34	7	Mulligan	0
35	7	0	0
35	7	1	0
35	7	2	0
35	7	3	0
35	7	4	0
35	7	5	10000
35	7	Mulligan	0
