Dual_land	Cards_drawn	Color_Counts	Color_Counts_during_trials
0	7	0	0
0	7	1	0
0	7	2	0
0	7	3	0
0	7	4	0
0	7	5	1000
0	7	Mulligan	0
1	7	0	0
1	7	1	0
1	7	2	0
1	7	3	0
1	7	4	0
1	7	5	1000
1	7	Mulligan	0
2	7	0	0
2	7	1	0
2	7	2	0
2	7	3	0
2	7	4	0
2	7	5	1000
2	7	Mulligan	0
3	7	0	0
3	7	1	0
3	7	2	0
3	7	3	0
3	7	4	0
3	7	5	1000
3	7	Mulligan	0
4	7	0	0
4	7	1	0
4	7	2	0
4	7	3	0
4	7	4	0
4	7	5	1000
4	7	Mulligan	0
5	7	0	0
5	7	1	0
5	7	2	0
5	7	3	0
5	7	4	0
5	7	5	1000
5	7	Mulligan	0
6	7	0	0
6	7	1	0
6	7	2	0
6	7	3	0
6	7	4	0
6	7	5	1000
6	7	Mulligan	0
7	7	0	0
7	7	1	0
7	7	2	0
7	7	3	0
7	7	4	0
7	7	5	1000
7	7	Mulligan	0
8	7	0	0
8	7	1	0
8	7	2	0
8	7	3	0
8	7	4	0
8	7	5	1000
8	7	Mulligan	0
9	7	0	0
9	7	1	0
9	7	2	0
9	7	3	0
9	7	4	0
9	7	5	1000
9	7	Mulligan	0
10	7	0	0
10	7	1	0
10	7	2	0
10	7	3	0
10	7	4	0
10	7	5	1000
10	7	Mulligan	0
11	7	0	0
11	7	1	0
11	7	2	0
11	7	3	0
11	7	4	0
11	7	5	1000
11	7	Mulligan	0
12	7	0	0
12	7	1	0
12	7	2	0
12	7	3	0
12	7	4	0
12	7	5	1000
12	7	Mulligan	0
13	7	0	0
13	7	1	0
13	7	2	0
13	7	3	0
13	7	4	0
13	7	5	1000
13	7	Mulligan	0
14	7	0	0
14	7	1	0
14	7	2	0
14	7	3	0
14	7	4	0
14	7	5	1000
14	7	Mulligan	0
15	7	0	0
15	7	1	0
15	7	2	0
15	7	3	0
15	7	4	0
15	7	5	1000
15	7	Mulligan	0
