Dual_land	Cards_drawn	Color_Counts	Color_Counts_during_trials
0	7	0	0
0	7	1	0
0	7	2	0
0	7	3	10000
0	7	Mulligan	0
1	7	0	0
1	7	1	0
1	7	2	0
1	7	3	9898
1	7	Mulligan	0
2	7	0	0
2	7	1	0
2	7	2	0
2	7	3	9793
2	7	Mulligan	0
3	7	0	0
3	7	1	0
3	7	2	0
3	7	3	9723
3	7	Mulligan	0
4	7	0	0
4	7	1	0
4	7	2	0
4	7	3	9676
4	7	Mulligan	0
5	7	0	0
5	7	1	0
5	7	2	0
5	7	3	9635
5	7	Mulligan	0
6	7	0	0
6	7	1	0
6	7	2	0
6	7	3	9545
6	7	Mulligan	0
7	7	0	0
7	7	1	0
7	7	2	0
7	7	3	9536
7	7	Mulligan	0
8	7	0	0
8	7	1	0
8	7	2	0
8	7	3	9469
8	7	Mulligan	0
9	7	0	0
9	7	1	0
9	7	2	0
9	7	3	9520
9	7	Mulligan	0
10	7	0	0
10	7	1	0
10	7	2	0
10	7	3	9516
10	7	Mulligan	0
11	7	0	0
11	7	1	0
11	7	2	0
11	7	3	9506
11	7	Mulligan	0
12	7	0	0
12	7	1	0
12	7	2	0
12	7	3	9533
12	7	Mulligan	0
13	7	0	0
13	7	1	0
13	7	2	0
13	7	3	9527
13	7	Mulligan	0
14	7	0	0
14	7	1	0
14	7	2	0
14	7	3	9568
14	7	Mulligan	0
15	7	0	0
15	7	1	0
15	7	2	0
15	7	3	9574
15	7	Mulligan	0
16	7	0	0
16	7	1	0
16	7	2	0
16	7	3	9584
16	7	Mulligan	0
17	7	0	0
17	7	1	0
17	7	2	0
17	7	3	9625
17	7	Mulligan	0
18	7	0	0
18	7	1	0
18	7	2	0
18	7	3	9638
18	7	Mulligan	0
19	7	0	0
19	7	1	0
19	7	2	0
19	7	3	9659
19	7	Mulligan	0
20	7	0	0
20	7	1	0
20	7	2	0
20	7	3	9693
20	7	Mulligan	0
21	7	0	0
21	7	1	0
21	7	2	0
21	7	3	9746
21	7	Mulligan	0
22	7	0	0
22	7	1	0
22	7	2	0
22	7	3	9763
22	7	Mulligan	0
23	7	0	0
23	7	1	0
23	7	2	0
23	7	3	9820
23	7	Mulligan	0
24	7	0	0
24	7	1	0
24	7	2	0
24	7	3	9811
24	7	Mulligan	0
25	7	0	0
25	7	1	0
25	7	2	0
25	7	3	9847
25	7	Mulligan	0
26	7	0	0
26	7	1	0
26	7	2	0
26	7	3	9840
26	7	Mulligan	0
27	7	0	0
27	7	1	0
27	7	2	0
27	7	3	9903
27	7	Mulligan	0
28	7	0	0
28	7	1	0
28	7	2	0
28	7	3	9920
28	7	Mulligan	0
29	7	0	0
29	7	1	0
29	7	2	0
29	7	3	9933
29	7	Mulligan	0
30	7	0	0
30	7	1	0
30	7	2	0
30	7	3	9940
30	7	Mulligan	0
31	7	0	0
31	7	1	0
31	7	2	0
31	7	3	9951
31	7	Mulligan	0
32	7	0	0
32	7	1	0
32	7	2	0
32	7	3	9977
32	7	Mulligan	0
33	7	0	0
33	7	1	0
33	7	2	0
33	7	3	9986
33	7	Mulligan	0
34	7	0	0
34	7	1	0
34	7	2	0
34	7	3	9993
34	7	Mulligan	0
