Year	Pips	results
1993	2	78
1993	3	8
1993	4	2
1993	5	0
1993	6	0
1994	2	148
1994	3	23
1994	4	3
1994	5	0
1994	6	0
1995	2	107
1995	3	13
1995	4	0
1995	5	0
1995	6	0
1996	2	98
1996	3	6
1996	4	0
1996	5	0
1996	6	0
1997	2	164
1997	3	17
1997	4	0
1997	5	0
1997	6	0
1998	2	148
1998	3	6
1998	4	2
1998	5	0
1998	6	0
1999	2	174
1999	3	8
1999	4	0
1999	5	1
1999	6	0
2000	2	116
2000	3	7
2000	4	0
2000	5	0
2000	6	0
2001	2	94
2001	3	8
2001	4	1
2001	5	0
2001	6	0
2002	2	147
2002	3	30
2002	4	0
2002	5	0
2002	6	0
2003	2	116
2003	3	11
2003	4	3
2003	5	0
2003	6	0
2004	2	136
2004	3	18
2004	4	0
2004	5	0
2004	6	0
2005	2	152
2005	3	12
2005	4	0
2005	5	0
2005	6	0
2006	2	146
2006	3	12
2006	4	1
2006	5	0
2006	6	0
2007	2	127
2007	3	15
2007	4	2
2007	5	0
2007	6	0
2008	2	114
2008	3	11
2008	4	0
2008	5	0
2008	6	1
2009	2	104
2009	3	13
2009	4	1
2009	5	0
2009	6	0
2010	2	158
2010	3	19
2010	4	0
2010	5	0
2010	6	0
2011	2	145
2011	3	22
2011	4	2
2011	5	0
2011	6	0
2012	2	131
2012	3	17
2012	4	0
2012	5	0
2012	6	0
2013	2	112
2013	3	7
2013	4	1
2013	5	0
2013	6	0
2014	2	168
2014	3	7
2014	4	0
2014	5	0
2014	6	0
2015	2	164
2015	3	7
2015	4	0
2015	5	0
2015	6	0
2016	2	157
2016	3	1
2016	4	0
2016	5	0
2016	6	0
2017	2	137
2017	3	6
2017	4	0
2017	5	0
2017	6	0
2018	2	156
2018	3	7
2018	4	0
2018	5	0
2018	6	0
2019	2	188
2019	3	23
2019	4	1
2019	5	0
2019	6	0
2020	2	208
2020	3	16
2020	4	0
2020	5	0
2020	6	0
2021	2	272
2021	3	16
2021	4	3
2021	5	0
2021	6	0
2022	2	209
2022	3	15
2022	4	6
2022	5	0
2022	6	0
2023	2	259
2023	3	20
2023	4	1
2023	5	0
2023	6	0
2024	2	270
2024	3	11
2024	4	0
2024	5	0
2024	6	1
2025	2	218
2025	3	15
2025	4	1
2025	5	2
2025	6	0
2026	2	196
2026	3	6
2026	4	0
2026	5	1
2026	6	0
